,City,Pop
0,ACKLEY,1550
1,ADAIR,752
2,ADEL,4171
3,AFTON,842
4,AGENCY,636
5,AINSWORTH,568
6,AKRON,1456
7,ALBERT CITY,700
8,ALBIA,3782
9,ALBION,469
10,ALBURNETT,690
11,ALDEN,763
12,ALGONA,5479
13,ALLEMAN,438
14,ALLERTON,497
15,ALLISON,1034
16,ALTA VISTA,263
17,ALTA,1952
18,ALTON,1256
19,ALTOONA,16105
20,AMANA,442
21,AMES,63266
22,ANAMOSA,5425
23,ANDREW,424
24,ANITA,957
25,ANKENY,53801
26,ANTHON,565
27,APLINGTON,1120
28,ARCADIA,471
29,ARLINGTON,414
30,ARMSTRONG,912
31,ARNOLDS PARK,1207
32,ARTHUR,205
33,ASBURY,5171
34,ASHTON,436
35,ATALISSA,303
36,ATKINS,1753
37,ATLANTIC,6842
38,AUBURN,314
39,AUDUBON,2035
40,AURELIA,1016
41,AVOCA,1506
42,BADGER,547
43,BAGLEY,297
44,BANCROFT,716
45,BATAVIA,510
46,BATTLE CREEK,700
47,BAXTER,1101
48,BAYARD,460
49,BEACON,487
50,BEAVERDALE,952
51,BEDFORD,1404
52,BELLE PLAINE,2489
53,BELLEVUE,2167
54,BELMOND,2322
55,BENNETT,401
56,BERTRAM,300
57,BETTENDORF,35122
58,BIRMINGHAM,439
59,BLAIRSBURG,210
60,BLAIRSTOWN,673
61,BLAKESBURG,287
62,BLENCOE,217
63,BLOOMFIELD,2632
64,BLUE GRASS,1623
65,BODE,297
66,BONAPARTE,425
67,BONDURANT,4806
68,BOONE,12633
69,BOYDEN,709
70,BRANDON,308
71,BREDA,477
72,BRIGHTON,658
73,BRITT,2026
74,BRONSON,322
75,BROOKLYN,1453
76,BUFFALO CENTER,891
77,BUFFALO,1298
78,BURLINGTON,25539
79,BURT,515
80,BUSSEY,416
81,CALAMUS,418
82,CALLENDER,363
83,CALMAR,961
84,CAMANCHE,4358
85,CAMBRIDGE,822
86,CANTRIL,222
87,CARLISLE,4098
88,CARROLL,10007
89,CARSON,812
90,CARTER LAKE,3766
91,CASCADE,2252
92,CASEY,407
93,CEDAR FALLS,40859
94,CEDAR RAPIDS,129195
95,CENTER POINT,2494
96,CENTERVILLE,5433
97,CENTRAL CITY,1272
98,CHARITON,4227
99,CHARLES CITY,7513
100,CHARLOTTE,375
101,CHARTER OAK,498
102,CHELSEA,261
103,CHEROKEE,5139
104,CHURDAN,376
105,CINCINNATI,348
106,CLARENCE,965
107,CLARINDA,5362
108,CLARION,2773
109,CLARKSVILLE,1419
110,CLEAR LAKE,7682
111,CLEARFIELD,342
112,CLEGHORN,232
113,CLERMONT,615
114,CLINTON,26246
115,CLIVE,17052
116,CLUTIER,210
117,COALVILLE,610
118,COGGON,656
119,COLESBURG,395
120,COLFAX,2061
121,COLLEGE SPRINGS,209
122,COLLINS,485
123,COLO,863
124,COLUMBUS CITY,373
125,COLUMBUS JUNCTION,1857
126,CONESVILLE,421
127,CONRAD,1100
128,CONROY,259
129,COON RAPIDS,1269
130,CORALVILLE,20349
131,CORNING,1564
132,CORRECTIONVILLE,805
133,CORWITH,269
134,CORYDON,1587
135,COULTER,277
136,COUNCIL BLUFFS,62245
137,CRAWFORDSVILLE,268
138,CRESCENT,622
139,CRESCO,3849
140,CRESTON,7839
141,CRYSTAL LAKE,246
142,CUMBERLAND,253
143,CUMMING,397
144,CUSHING,222
145,DAKOTA CITY,822
146,DALLAS CENTER,1788
147,DANBURY,342
148,DANVILLE,934
149,DAVENPORT,102448
150,DAYTON,803
151,DE SOTO,1098
152,DE WITT,5253
153,DECORAH,7957
154,DEDHAM,264
155,DEEP RIVER,275
156,DEFIANCE,280
157,DELHI,470
158,DELMAR,505
159,DELOIT,265
160,DELTA,318
161,DENISON,8390
162,DENMARK,423
163,DENVER,1820
164,DES MOINES,209220
165,DEXTER,638
166,DIAGONAL,328
167,DIAMONDHEAD LAKE,366
168,DIKE,1257
169,DIXON,248
170,DONAHUE,369
171,DONNELLSON,899
172,DOON,588
173,DOW CITY,505
174,DOWS,519
175,DUBUQUE,58436
176,DUMONT,633
177,DUNCOMBE,392
178,DUNKERTON,844
179,DUNLAP,994
180,DURANT,1825
181,DYERSVILLE,4149
182,DYSART,1367
183,EAGLE GROVE,3452
184,EARLHAM,1403
185,EARLING,427
186,EARLVILLE,793
187,EARLY,532
188,EDDYVILLE,1016
189,EDGEWOOD,861
190,ELDON,915
191,ELDORA,2698
192,ELDRIDGE,6162
193,ELGIN,655
194,ELK HORN,647
195,ELK RUN HEIGHTS,1131
196,ELKADER,1220
197,ELKHART,716
198,ELLIOTT,336
199,ELLSWORTH,506
200,ELMA,534
201,ELY,2001
202,EMERSON,426
203,EMMETSBURG,3790
204,EPWORTH,1943
205,ESSEX,774
206,ESTHERVILLE,6121
207,EVANSDALE,4793
208,EVERLY,584
209,EXIRA,778
210,FAIRBANK,1107
211,FAIRFAX,2409
212,FAIRFIELD,9750
213,FARLEY,1639
214,FARMERSBURG,278
215,FARMINGTON,658
216,FARNHAMVILLE,360
217,FARRAGUT,449
218,FAYETTE,1469
219,FENTON,264
220,FERTILE,374
221,FLOYD,330
222,FONDA,613
223,FONTANELLE,653
224,FOREST CITY,3982
225,FORT ATKINSON,337
226,FORT DODGE,24594
227,FORT MADISON,10764
228,FOSTORIA,240
229,FREDERICKSBURG,926
230,FREDONIA,239
231,FREMONT,736
232,FRUITLAND,977
233,GALVA,435
234,GARDEN GROVE,202
235,GARNAVILLO,729
236,GARNER,3095
237,GARRISON,365
238,GARWIN,512
239,GEORGE,1059
240,GILBERTVILLE,749
241,GILBERT,1099
242,GILMAN,507
243,GILMORE CITY,501
244,GLADBROOK,897
245,GLENWOOD,5242
246,GLIDDEN,1131
247,GOLDFIELD,612
248,GOOSE LAKE,236
249,GOWRIE,990
250,GRAETTINGER,813
251,GRAFTON,255
252,GRAND JUNCTION,807
253,GRAND MOUND,623
254,GRAND RIVER,226
255,GRANDVIEW,535
256,GRANGER,1416
257,GRANVILLE,316
258,GREELEY,251
259,GREENE,1127
260,GREENFIELD,1939
261,GRIMES,9786
262,GRINNELL,9069
263,GRISWOLD,994
264,GRUNDY CENTER,2705
265,GUTHRIE CENTER,1523
266,GUTTENBERG,1861
267,HALBUR,242
268,HAMBURG,1105
269,HAMPTON,4343
270,HANLONTOWN,228
271,HARCOURT,293
272,HARLAN,5013
273,HARPERS FERRY,323
274,HARTFORD,760
275,HARTLEY,1628
276,HARVEY,236
277,HAWARDEN,2543
278,HAWKEYE,428
279,HAZLETON,820
280,HEDRICK,749
281,HIAWATHA,7157
282,HILLS,806
283,HINTON,943
284,HOLIDAY LAKE,433
285,HOLLAND,279
286,HOLSTEIN,1393
287,HOLY CROSS,378
288,HOPKINTON,611
289,HORNICK,225
290,HOSPERS,712
291,HUBBARD,829
292,HUDSON,2369
293,HULL,2227
294,HUMBOLDT,4625
295,HUMESTON,491
296,HUXLEY,3484
297,IDA GROVE,2121
298,INDEPENDENCE,5986
299,INDIANOLA,15305
300,INWOOD,817
301,IONIA,288
302,IOWA CITY,73415
303,IOWA FALLS,5173
304,IRETON,604
305,IRWIN,334
306,JAMAICA,220
307,JANESVILLE,947
308,JEFFERSON,4276
309,JESUP,2649
310,JEWELL JUNCTION,1177
311,JOHNSTON,20359
312,JOICE,224
313,KALONA,2479
314,KANAWHA,626
315,KELLERTON,311
316,KELLEY,307
317,KELLOGG,595
318,KENSETT,269
319,KEOKUK,10692
320,KEOSAUQUA,995
321,KEOTA,980
322,KESWICK,241
323,KEYSTONE,607
324,KIMBALLTON,301
325,KINGSLEY,1407
326,KIRON,280
327,KLEMME,487
328,KNOXVILLE,7244
329,LA MOTTE,254
330,LA PORTE CITY,2290
331,LACONA,361
332,LADORA,283
333,LAKE CITY,1677
334,LAKE MILLS,2056
335,LAKE PANORAMA,1309
336,LAKE PARK,1128
337,LAKE VIEW,1124
338,LAKESIDE,709
339,LAKOTA,288
340,LAMONI,2404
341,LAMONT,458
342,LANSING,962
343,LARCHWOOD,873
344,LATIMER,490
345,LAUREL,242
346,LAURENS,1227
347,LAWLER,426
348,LAWTON,947
349,LE CLAIRE,3929
350,LE GRAND,944
351,LE MARS,9764
352,LEHIGH,397
353,LELAND,284
354,LENOX,1370
355,LEON,1909
356,LESTER,290
357,LETTS,376
358,LEWIS,415
359,LIBERTYVILLE,327
360,LIME SPRINGS,492
361,LINDEN,212
362,LINEVILLE,219
363,LISBON,2184
364,LISCOMB,305
365,LITTLE ROCK,444
366,LIVERMORE,370
367,LOCKRIDGE,279
368,LOGAN,1474
369,LOHRVILLE,354
370,LONE TREE,1408
371,LONG GROVE,840
372,LORIMOR,355
373,LOST NATION,429
374,LOVILIA,532
375,LOW MOOR,281
376,LOWDEN,774
377,LU VERNE,256
378,LUANA,275
379,LUCAS,213
380,LUXEMBURG,252
381,LYNNVILLE,391
382,LYTTON,304
383,MACEDONIA,244
384,MADRID,2553
385,MAHARISHI VEDIC CITY,1300
386,MALCOM,283
387,MALLARD,266
388,MALVERN,1118
389,MANCHESTER,5087
390,MANILLA,777
391,MANLY,1325
392,MANNING,1485
393,MANSON,1627
394,MAPLETON,1217
395,MAQUOKETA,6012
396,MARATHON,241
397,MARBLE ROCK,303
398,MARCUS,1096
399,MARENGO,2513
400,MARION,36774
401,MARQUETTE,453
402,MARSHALLTOWN,27727
403,MARTELLE,254
404,MARTENSDALE,464
405,MASON CITY,27458
406,MASSENA,345
407,MAURICE,277
408,MAXWELL,914
409,MAYNARD,501
410,MCCALLSBURG,335
411,MCCAUSLAND,314
412,MCGREGOR,838
413,MECHANICSVILLE,1117
414,MEDIAPOLIS,1589
415,MELBOURNE,826
416,MELCHER-DALLAS,1276
417,MELVIN,208
418,MENLO,346
419,MERRILL,737
420,MESERVEY,250
421,MIDDLE AMANA,581
422,MIDDLETOWN,336
423,MILES,443
424,MILFORD,2985
425,MILO,769
426,MILTON,417
427,MINBURN,388
428,MINDEN,592
429,MINGO,301
430,MISSOURI VALLEY,2692
431,MITCHELLVILLE,2217
432,MODALE,269
433,MONDAMIN,378
434,MONONA,1510
435,MONROE,1831
436,MONTEZUMA,1444
437,MONTICELLO,3809
438,MONTOUR,248
439,MONTROSE,880
440,MOORHEAD,219
441,MORAVIA,651
442,MORNING SUN,821
443,MOULTON,592
444,MOUNT AYR,1680
445,MOUNT PLEASANT,8647
446,MOUNT VERNON,4522
447,MOVILLE,1626
448,MURRAY,734
449,MUSCATINE,23888
450,MYSTIC,415
451,NASHUA,1636
452,NEOLA,856
453,NEVADA,6779
454,NEW ALBIN,504
455,NEW HAMPTON,3546
456,NEW HARTFORD,511
457,NEW LONDON,1893
458,NEW MARKET,405
459,NEW PROVIDENCE,227
460,NEW SHARON,1301
461,NEW VIENNA,426
462,NEW VIRGINIA,484
463,NEWELL,877
464,NEWHALL,853
465,NEWTON,15150
466,NICHOLS,372
467,NORA SPRINGS,1402
468,NORTH ENGLISH,1026
469,NORTH LIBERTY,15386
470,NORTHWOOD,2003
471,NORWALK,9859
472,NORWAY,529
473,OAKLAND,1506
474,OCHEYEDAN,472
475,ODEBOLT,977
476,OELWEIN,6181
477,OGDEN,2034
